"Circ/Dist and County","County Code","All FilingsTotal","All Filings Chap. 7","All Filings  Chap. 11","All Filings  Chap.12","All Filings Chap.13","Business Filings Total","Business Filings Chap.7","Business Filings Chap.11","Business Filings Chap.12","Business Filings Chap.13","Nonbusiness Filings Total","Nonbusiness Filings Chap.7","Nonbusiness Filings Chap.11","Nonbusiness Filings Chap.13","Bankruptcy Court"
"INDIAN RIVER",12061,5,3,0,0,2,2,1,0,0,1,3,2,0,1,"FL M"
LAFAYETTE,12067,2,1,0,1,0,1,0,0,1,0,1,1,0,0,"FL M"
LAKE,12069,1087,855,5,0,227,31,26,4,0,1,1056,829,1,226,"FL M"
LEE,12071,1673,1056,11,1,605,72,54,9,1,8,1601,1002,2,597,"FL M"
LEON,12073,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
LEVY,12075,10,7,0,0,3,1,0,0,0,1,9,7,0,2,"FL M"
MADISON,12079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
MANATEE,12081,789,500,12,0,277,36,20,11,0,5,753,480,1,272,"FL M"
MARION,12083,808,701,2,2,103,34,30,2,2,0,774,671,0,103,"FL M"
MARTIN,12085,5,3,0,0,2,0,0,0,0,0,5,3,0,2,"FL M"
MIAMI-DADE,12086,19,10,0,0,9,0,0,0,0,0,19,10,0,9,"FL M"
MONROE,12087,4,3,0,0,1,2,2,0,0,0,2,1,0,1,"FL M"
NASSAU,12089,191,125,1,0,65,4,4,0,0,0,187,121,1,65,"FL M"
OKEECHOBEE,12093,4,2,0,0,2,0,0,0,0,0,4,2,0,2,"FL M"
ORANGE,12095,5249,3816,37,0,1396,188,141,34,0,13,5061,3675,3,1383,"FL M"
OSCEOLA,12097,1475,1140,7,0,327,29,20,7,0,1,1446,1120,0,326,"FL M"
"PALM BEACH",12099,12,6,1,0,5,0,0,0,0,0,12,6,1,5,"FL M"
PASCO,12101,1458,986,11,1,460,42,28,8,1,5,1416,958,3,455,"FL M"
PINELLAS,12103,2807,1867,32,0,908,99,64,23,0,12,2708,1803,9,896,"FL M"
POLK,12105,1544,1062,15,0,467,40,28,10,0,2,1504,1034,5,465,"FL M"
PUTNAM,12107,114,81,3,0,30,6,3,3,0,0,108,78,0,30,"FL M"
"ST. JOHNS",12109,421,267,15,0,139,31,22,7,0,2,390,245,8,137,"FL M"
"ST. LUCIE",12111,2,1,1,0,0,1,0,1,0,0,1,1,0,0,"FL M"
SARASOTA,12115,1005,695,12,0,298,52,38,9,0,5,953,657,3,293,"FL M"
SEMINOLE,12117,1606,1238,6,0,362,67,58,4,0,5,1539,1180,2,357,"FL M"
SUMTER,12119,119,107,0,0,12,8,7,0,0,1,111,100,0,11,"FL M"
SUWANNEE,12121,52,27,1,2,22,3,0,1,2,0,49,27,0,22,"FL M"
UNION,12125,19,7,3,1,8,4,0,2,1,1,15,7,1,7,"FL M"
VOLUSIA,12127,1811,1404,7,0,400,53,46,4,0,3,1758,1358,3,397,"FL M"
WALTON,12131,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
BIBB,13021,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
CAMDEN,13039,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
CATOOSA,13047,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
CHATHAM,13051,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
CHEROKEE,13057,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
DEKALB,13089,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
DOUGLAS,13097,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
FORSYTH,13117,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"FL M"
FULTON,13121,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"FL M"
GILMER,13123,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
HENRY,13151,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
LOWNDES,13185,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"FL M"
ROCKDALE,13247,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
WARE,13299,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
ADA,16001,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
DUPAGE,17043,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL M"
KENDALL,17093,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
PEORIA,17143,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
LAKE,18089,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
MARION,18097,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL M"
"EAST BATON ROUGE",22033,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
JACKSON,22049,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
TERREBONNE,22109,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
"ANNE ARUNDEL",24003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
"BALTIMORE (COUNTY,NOT CITY)",24005,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
BARNSTABLE,25001,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
BRISTOL,25005,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
EMMET,26047,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
KALAMAZOO,26077,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"FL M"
KENT,26081,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
TUSCOLA,26157,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
BERGEN,34003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
MERCER,34021,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"FL M"
OCEAN,34029,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
BERNALILLO,35001,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
ALBANY,36001,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
BRONX,36005,3,3,0,0,0,0,0,0,0,0,3,3,0,0,"FL M"
KINGS,36047,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
MONROE,36055,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"FL M"
QUEENS,36081,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL M"
SUFFOLK,36103,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
CHEROKEE,37039,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
UNION,37179,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
HAMILTON,39061,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
MONTGOMERY,39113,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
MUSKINGUM,39119,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
SUMMIT,39153,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
CHESTER,42029,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
ERIE,42049,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
LEHIGH,42077,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
SCHUYLKILL,42107,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
GREENVILLE,45045,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
KNOX,47093,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
BRAZORIA,48039,1,0,0,0,1,1,0,0,0,1,0,0,0,0,"FL M"
GALVESTON,48167,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
TARRANT,48439,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL M"
WEBER,49057,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
CHESTERFIELD,51041,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
"ISLE OF WIGHT",51093,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
"PRINCE WILLIAM",51153,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL M"
SOUTHAMPTON,51175,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
"NORFOLK (CITY)",51710,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL M"
CLARK,53011,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
PIERCE,53053,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
SPOKANE,53063,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
MILWAUKEE,55079,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
"SAN JUAN",72127,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"FL M"
"TRUJILLO ALTO",72139,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL M"
"OUTSIDE HOME STATE",88888,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"FL M"
"OUTSIDE U.S.",99999,24,15,0,0,5,5,2,0,0,1,19,13,0,4,"FL M"
MADISON,1089,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
ALACHUA,12001,289,244,0,1,44,10,9,0,1,0,279,235,0,44,"FL N"
BAY,12005,368,296,11,1,60,27,15,10,1,1,341,281,1,59,"FL N"
CALHOUN,12013,11,4,0,0,7,0,0,0,0,0,11,4,0,7,"FL N"
COLUMBIA,12023,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
DIXIE,12029,17,16,1,0,0,1,0,1,0,0,16,16,0,0,"FL N"
DUVAL,12031,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"FL N"
ESCAMBIA,12033,610,482,3,0,125,16,12,3,0,1,594,470,0,124,"FL N"
FRANKLIN,12037,16,12,3,0,1,6,2,3,0,1,10,10,0,0,"FL N"
GADSDEN,12039,92,52,2,1,37,3,0,2,1,0,89,52,0,37,"FL N"
GILCHRIST,12041,15,15,0,0,0,2,2,0,0,0,13,13,0,0,"FL N"
GULF,12045,16,13,0,0,3,2,2,0,0,0,14,11,0,3,"FL N"
HOLMES,12059,15,13,0,0,2,0,0,0,0,0,15,13,0,2,"FL N"
JACKSON,12063,140,108,1,0,31,10,8,0,0,2,130,100,1,29,"FL N"
JEFFERSON,12065,21,17,0,0,4,0,0,0,0,0,21,17,0,4,"FL N"
LAFAYETTE,12067,4,2,0,0,2,0,0,0,0,0,4,2,0,2,"FL N"
LEON,12073,438,332,16,1,89,47,33,13,1,0,391,299,3,89,"FL N"
LEVY,12075,51,46,0,0,5,5,5,0,0,0,46,41,0,5,"FL N"
LIBERTY,12077,6,6,0,0,0,0,0,0,0,0,6,6,0,0,"FL N"
MADISON,12079,22,8,0,0,14,1,1,0,0,0,21,7,0,14,"FL N"
OKALOOSA,12091,320,284,1,0,35,16,14,1,0,1,304,270,0,34,"FL N"
"PALM BEACH",12099,3,0,2,0,1,2,0,2,0,0,1,0,0,1,"FL N"
"SANTA ROSA",12113,311,272,3,0,36,12,9,3,0,0,299,263,0,36,"FL N"
SUWANNEE,12121,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"FL N"
TAYLOR,12123,20,13,0,0,7,0,0,0,0,0,20,13,0,7,"FL N"
WAKULLA,12129,52,36,0,0,16,1,1,0,0,0,51,35,0,16,"FL N"
WALTON,12131,94,78,3,0,13,8,6,2,0,0,86,72,1,13,"FL N"
WASHINGTON,12133,60,48,0,0,12,3,3,0,0,0,57,45,0,12,"FL N"
CHEROKEE,13057,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
COBB,13067,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL N"
COOK,13075,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
RICHMOND,13245,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
DICKINSON,26043,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
CHESTER,42029,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
WESTMORELAND,42129,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
GREENVILLE,45045,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
SHELBY,47157,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL N"
CULPEPER,51047,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
"OUTSIDE HOME STATE",88888,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL N"
ARAPAHOE,8005,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
BREVARD,12009,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL S"
BROWARD,12011,7439,4104,75,0,3260,201,138,47,0,16,7238,3966,28,3244,"FL S"
DADE,12025,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
DUVAL,12031,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
FLAGLER,12035,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
HERNANDO,12053,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
HIGHLANDS,12055,146,93,0,0,53,1,1,0,0,0,145,92,0,53,"FL S"
HILLSBOROUGH,12057,3,2,0,0,1,0,0,0,0,0,3,2,0,1,"FL S"
"INDIAN RIVER",12061,1046,725,13,0,308,25,17,6,0,2,1021,708,7,306,"FL S"
LEE,12071,2,0,0,0,2,0,0,0,0,0,2,0,0,2,"FL S"
MANATEE,12081,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
MARTIN,12085,306,195,3,0,108,9,7,2,0,0,297,188,1,108,"FL S"
MIAMI-DADE,12086,13169,7539,69,4,5557,263,179,57,4,23,12906,7360,12,5534,"FL S"
MONROE,12087,158,101,4,0,53,7,4,2,0,1,151,97,2,52,"FL S"
NASSAU,12089,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
OKEECHOBEE,12093,81,39,0,0,42,1,1,0,0,0,80,38,0,42,"FL S"
OSCEOLA,12097,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
"PALM BEACH",12099,4038,2372,78,2,1586,143,78,57,2,6,3895,2294,21,1580,"FL S"
PINELLAS,12103,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
POLK,12105,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL S"
"ST. JOHNS",12109,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
"ST. LUCIE",12111,1375,831,11,0,533,27,15,10,0,2,1348,816,1,531,"FL S"
VOLUSIA,12127,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
FULTON,13121,2,0,1,0,1,1,0,1,0,0,1,0,0,1,"FL S"
GWINNETT,13135,2,1,0,0,1,0,0,0,0,0,2,1,0,1,"FL S"
SPALDING,13255,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
SUMTER,13261,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
"ANNE ARUNDEL",24003,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
CARROLL,24013,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
"PRINCE GEORGE'S",24033,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
WORCESTER,25027,1,0,1,0,0,1,0,1,0,0,0,0,0,0,"FL S"
MIDDLESEX,34023,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
UNION,34039,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
BRONX,36005,3,2,0,0,1,0,0,0,0,0,3,2,0,1,"FL S"
QUEENS,36081,3,0,0,0,3,0,0,0,0,0,3,0,0,3,"FL S"
SUFFOLK,36103,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
BURKE,37023,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
WAKE,37183,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
DELAWARE,39041,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
FRANKLIN,39049,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
MAHONING,39099,1,0,0,0,1,0,0,0,0,0,1,0,0,1,"FL S"
SUMMIT,39153,1,1,0,0,0,1,1,0,0,0,0,0,0,0,"FL S"
TRAVIS,48453,1,1,0,0,0,0,0,0,0,0,1,1,0,0,"FL S"
CHIPPEWA,55017,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"FL S"
KENOSHA,55059,2,2,0,0,0,0,0,0,0,0,2,2,0,0,"FL S"
