"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",0,"Total for all sectors",2013,134,894,6221,"$31,935 "
0500000US02220,2220,"Sitka City and Borough, Alaska",0,"Total for all sectors",2013,382,2867,26876,"$128,949 "
0500000US02230,2230,"Skagway Municipality, Alaska",0,"Total for all sectors",2013,109,337,2927,"$23,117 "
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",0,"Total for all sectors",2013,172,1265,19079,"$80,756 "
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",0,"Total for all sectors",2013,461,2786,38007,"$163,959 "
0500000US02270,2270,"Wade Hampton Census Area, Alaska",0,"Total for all sectors",2013,71,575,3320,"$14,723 "
0500000US02275,2275,"Wrangell City and Borough, Alaska",0,"Total for all sectors",2013,86,524,4364,"$19,045 "
0500000US02282,2282,"Yakutat City and Borough, Alaska",0,"Total for all sectors",2013,30,147,1028,"$6,037 "
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",0,"Total for all sectors",2013,99,434,5232,"$19,497 "
0500000US04001,4001,"Apache County, Arizona",0,"Total for all sectors",2013,463,6796,61647,"$253,232 "
0500000US04003,4003,"Cochise County, Arizona",0,"Total for all sectors",2013,2245,26387,216737,"$904,990 "
0500000US04005,4005,"Coconino County, Arizona",0,"Total for all sectors",2013,3518,44834,373896,"$1,657,156 "
0500000US04007,4007,"Gila County, Arizona",0,"Total for all sectors",2013,1013,10780,106765,"$451,465 "
0500000US04009,4009,"Graham County, Arizona",0,"Total for all sectors",2013,487,6499,55188,"$215,113 "
0500000US04011,4011,"Greenlee County, Arizona",0,"Total for all sectors",2013,90,4834,76319,"$242,896 "
0500000US04012,4012,"La Paz County, Arizona",0,"Total for all sectors",2013,345,3739,27969,"$108,903 "
0500000US04013,4013,"Maricopa County, Arizona",0,"Total for all sectors",2013,86045,1491582,16847973,"$67,740,763 "
0500000US04015,4015,"Mohave County, Arizona",0,"Total for all sectors",2013,3603,39476,311709,"$1,274,940 "
0500000US04017,4017,"Navajo County, Arizona",0,"Total for all sectors",2013,1692,16802,127870,"$554,810 "
0500000US04019,4019,"Pima County, Arizona",0,"Total for all sectors",2013,19962,305393,2881590,"$11,617,981 "
0500000US04021,4021,"Pinal County, Arizona",0,"Total for all sectors",2013,3311,46431,380767,"$1,516,171 "
0500000US04023,4023,"Santa Cruz County, Arizona",0,"Total for all sectors",2013,1145,10954,81005,"$328,407 "
0500000US04025,4025,"Yavapai County, Arizona",0,"Total for all sectors",2013,5548,53338,423961,"$1,774,088 "
0500000US04027,4027,"Yuma County, Arizona",0,"Total for all sectors",2013,2851,39710,313744,"$1,220,652 "
0500000US05001,5001,"Arkansas County, Arkansas",0,"Total for all sectors",2013,527,8181,65670,"$296,077 "
0500000US05003,5003,"Ashley County, Arkansas",0,"Total for all sectors",2013,414,6845,68044,"$272,630 "
0500000US05005,5005,"Baxter County, Arkansas",0,"Total for all sectors",2013,1039,12604,92358,"$415,786 "
0500000US05007,5007,"Benton County, Arkansas",0,"Total for all sectors",2013,5454,98642,1878741,"$5,512,872 "
0500000US05009,5009,"Boone County, Arkansas",0,"Total for all sectors",2013,864,11897,94427,"$399,696 "
0500000US05011,5011,"Bradley County, Arkansas",0,"Total for all sectors",2013,250,2621,18444,"$75,173 "
0500000US05013,5013,"Calhoun County, Arkansas",0,"Total for all sectors",2013,66,435,3600,"$15,462 "
0500000US05015,5015,"Carroll County, Arkansas",0,"Total for all sectors",2013,698,8142,50967,"$214,010 "
0500000US05017,5017,"Chicot County, Arkansas",0,"Total for all sectors",2013,225,2207,14832,"$62,909 "
0500000US05019,5019,"Clark County, Arkansas",0,"Total for all sectors",2013,498,6584,49192,"$201,281 "
0500000US05021,5021,"Clay County, Arkansas",0,"Total for all sectors",2013,307,2683,17197,"$73,061 "
0500000US05023,5023,"Cleburne County, Arkansas",0,"Total for all sectors",2013,577,5882,41852,"$172,422 "
0500000US05025,5025,"Cleveland County, Arkansas",0,"Total for all sectors",2013,81,584,3736,"$16,101 "
0500000US05027,5027,"Columbia County, Arkansas",0,"Total for all sectors",2013,596,7538,64887,"$268,429 "
0500000US05029,5029,"Conway County, Arkansas",0,"Total for all sectors",2013,409,4894,37976,"$171,199 "
0500000US05031,5031,"Craighead County, Arkansas",0,"Total for all sectors",2013,2476,38113,305958,"$1,294,334 "
0500000US05033,5033,"Crawford County, Arkansas",0,"Total for all sectors",2013,1061,20016,148502,"$617,266 "
0500000US05035,5035,"Crittenden County, Arkansas",0,"Total for all sectors",2013,824,13445,102639,"$420,743 "
0500000US05037,5037,"Cross County, Arkansas",0,"Total for all sectors",2013,359,4100,26678,"$112,508 "
0500000US05039,5039,"Dallas County, Arkansas",0,"Total for all sectors",2013,195,2305,15631,"$64,983 "
0500000US05041,5041,"Desha County, Arkansas",0,"Total for all sectors",2013,312,3412,25822,"$106,366 "
0500000US05043,5043,"Drew County, Arkansas",0,"Total for all sectors",2013,405,4478,29040,"$127,112 "
0500000US05045,5045,"Faulkner County, Arkansas",0,"Total for all sectors",2013,2439,35228,318993,"$1,363,241 "
0500000US05047,5047,"Franklin County, Arkansas",0,"Total for all sectors",2013,278,3424,25021,"$103,442 "
0500000US05049,5049,"Fulton County, Arkansas",0,"Total for all sectors",2013,162,1460,8634,"$35,747 "
0500000US05051,5051,"Garland County, Arkansas",0,"Total for all sectors",2013,2696,32235,227019,"$958,679 "
0500000US05053,5053,"Grant County, Arkansas",0,"Total for all sectors",2013,274,2876,21167,"$88,005 "
0500000US05055,5055,"Greene County, Arkansas",0,"Total for all sectors",2013,767,15717,107109,"$449,364 "
0500000US05057,5057,"Hempstead County, Arkansas",0,"Total for all sectors",2013,386,6036,42911,"$181,828 "
0500000US05059,5059,"Hot Spring County, Arkansas",0,"Total for all sectors",2013,472,5876,44861,"$182,495 "
0500000US05061,5061,"Howard County, Arkansas",0,"Total for all sectors",2013,300,5881,40205,"$161,437 "
0500000US05063,5063,"Independence County, Arkansas",0,"Total for all sectors",2013,779,13970,112663,"$462,095 "
0500000US05065,5065,"Izard County, Arkansas",0,"Total for all sectors",2013,206,1988,12909,"$54,373 "
0500000US05067,5067,"Jackson County, Arkansas",0,"Total for all sectors",2013,327,3890,33604,"$127,305 "
0500000US05069,5069,"Jefferson County, Arkansas",0,"Total for all sectors",2013,1371,21243,182770,"$725,022 "
0500000US05071,5071,"Johnson County, Arkansas",0,"Total for all sectors",2013,394,7204,46635,"$191,007 "
0500000US05073,5073,"Lafayette County, Arkansas",0,"Total for all sectors",2013,111,780,5303,"$22,935 "
0500000US05075,5075,"Lawrence County, Arkansas",0,"Total for all sectors",2013,274,2790,18259,"$76,231 "
0500000US05077,5077,"Lee County, Arkansas",0,"Total for all sectors",2013,127,907,6875,"$28,332 "
0500000US05079,5079,"Lincoln County, Arkansas",0,"Total for all sectors",2013,155,1636,13399,"$52,043 "
0500000US05081,5081,"Little River County, Arkansas",0,"Total for all sectors",2013,162,2713,31171,"$126,978 "
0500000US05083,5083,"Logan County, Arkansas",0,"Total for all sectors",2013,377,4054,27319,"$115,301 "
0500000US05085,5085,"Lonoke County, Arkansas",0,"Total for all sectors",2013,1002,10181,68587,"$293,469 "
0500000US05087,5087,"Madison County, Arkansas",0,"Total for all sectors",2013,189,2422,16334,"$67,935 "
0500000US05089,5089,"Marion County, Arkansas",0,"Total for all sectors",2013,213,3002,18022,"$80,649 "
0500000US05091,5091,"Miller County, Arkansas",0,"Total for all sectors",2013,704,10926,100665,"$405,666 "
0500000US05093,5093,"Mississippi County, Arkansas",0,"Total for all sectors",2013,836,17787,158411,"$650,370 "
0500000US05095,5095,"Monroe County, Arkansas",0,"Total for all sectors",2013,197,1723,11370,"$46,173 "
0500000US05097,5097,"Montgomery County, Arkansas",0,"Total for all sectors",2013,141,920,6131,"$26,502 "
0500000US05099,5099,"Nevada County, Arkansas",0,"Total for all sectors",2013,123,1948,15297,"$62,012 "
0500000US05101,5101,"Newton County, Arkansas",0,"Total for all sectors",2013,83,759,3492,"$15,992 "
0500000US05103,5103,"Ouachita County, Arkansas",0,"Total for all sectors",2013,530,7423,66206,"$278,141 "
0500000US05105,5105,"Perry County, Arkansas",0,"Total for all sectors",2013,107,816,5836,"$32,919 "
0500000US05107,5107,"Phillips County, Arkansas",0,"Total for all sectors",2013,414,4195,30325,"$124,337 "
0500000US05109,5109,"Pike County, Arkansas",0,"Total for all sectors",2013,201,1792,10601,"$44,621 "
0500000US05111,5111,"Poinsett County, Arkansas",0,"Total for all sectors",2013,365,3546,29701,"$109,619 "
0500000US05113,5113,"Polk County, Arkansas",0,"Total for all sectors",2013,453,5036,31939,"$132,423 "
0500000US05115,5115,"Pope County, Arkansas",0,"Total for all sectors",2013,1536,23438,192250,"$761,674 "
0500000US05117,5117,"Prairie County, Arkansas",0,"Total for all sectors",2013,157,905,5614,"$23,413 "
0500000US05119,5119,"Pulaski County, Arkansas",0,"Total for all sectors",2013,12010,204171,2101218,"$8,533,577 "
0500000US05121,5121,"Randolph County, Arkansas",0,"Total for all sectors",2013,325,3500,21960,"$89,274 "
0500000US05123,5123,"St. Francis County, Arkansas",0,"Total for all sectors",2013,462,5148,35093,"$145,379 "
0500000US05125,5125,"Saline County, Arkansas",0,"Total for all sectors",2013,1837,19290,132034,"$560,151 "
0500000US05127,5127,"Scott County, Arkansas",0,"Total for all sectors",2013,154,2178,14200,"$54,428 "
0500000US05129,5129,"Searcy County, Arkansas",0,"Total for all sectors",2013,116,1083,5095,"$21,495 "
0500000US05131,5131,"Sebastian County, Arkansas",0,"Total for all sectors",2013,3482,61045,546829,"$2,237,279 "
0500000US05133,5133,"Sevier County, Arkansas",0,"Total for all sectors",2013,270,4148,27970,"$110,144 "
0500000US05135,5135,"Sharp County, Arkansas",0,"Total for all sectors",2013,309,2394,13187,"$55,229 "
0500000US05137,5137,"Stone County, Arkansas",0,"Total for all sectors",2013,234,2024,11019,"$46,224 "
0500000US05139,5139,"Union County, Arkansas",0,"Total for all sectors",2013,1140,16689,213674,"$768,938 "
0500000US05141,5141,"Van Buren County, Arkansas",0,"Total for all sectors",2013,338,3484,29660,"$125,930 "
0500000US05143,5143,"Washington County, Arkansas",0,"Total for all sectors",2013,4934,79392,693345,"$2,896,643 "
0500000US05145,5145,"White County, Arkansas",0,"Total for all sectors",2013,1519,22276,174362,"$700,838 "
0500000US05147,5147,"Woodruff County, Arkansas",0,"Total for all sectors",2013,138,1307,9432,"$40,729 "
0500000US05149,5149,"Yell County, Arkansas",0,"Total for all sectors",2013,307,4940,34662,"$135,692 "
0500000US06001,6001,"Alameda County, California",0,"Total for all sectors",2013,37108,598309,9204724,"$36,923,171 "
0500000US06003,6003,"Alpine County, California",0,"Total for all sectors",2013,36,176,945,"$4,053 "
0500000US06005,6005,"Amador County, California",0,"Total for all sectors",2013,786,7768,68863,"$265,841 "
0500000US06007,6007,"Butte County, California",0,"Total for all sectors",2013,4637,56166,457596,"$1,962,415 "
0500000US06009,6009,"Calaveras County, California",0,"Total for all sectors",2013,881,5729,40895,"$176,699 "
0500000US06011,6011,"Colusa County, California",0,"Total for all sectors",2013,376,3956,33967,"$147,081 "
0500000US06013,6013,"Contra Costa County, California",0,"Total for all sectors",2013,22338,306661,4740300,"$18,063,170 "
0500000US06015,6015,"Del Norte County, California",0,"Total for all sectors",2013,417,3966,27342,"$114,688 "
0500000US06017,6017,"El Dorado County, California",0,"Total for all sectors",2013,4236,40712,396719,"$1,632,984 "
0500000US06019,6019,"Fresno County, California",0,"Total for all sectors",2013,15973,239776,2171632,"$9,121,284 "
0500000US06021,6021,"Glenn County, California",0,"Total for all sectors",2013,453,4574,52996,"$214,854 "
0500000US06023,6023,"Humboldt County, California",0,"Total for all sectors",2013,3169,32396,251564,"$1,049,594 "
0500000US06025,6025,"Imperial County, California",0,"Total for all sectors",2013,2419,31319,235857,"$979,296 "
0500000US06027,6027,"Inyo County, California",0,"Total for all sectors",2013,525,5085,44145,"$183,235 "
0500000US06029,6029,"Kern County, California",0,"Total for all sectors",2013,12344,195927,2070513,"$8,448,785 "
0500000US06031,6031,"Kings County, California",0,"Total for all sectors",2013,1575,23441,190641,"$819,811 "
0500000US06033,6033,"Lake County, California",0,"Total for all sectors",2013,1032,9233,80870,"$318,356 "
0500000US06035,6035,"Lassen County, California",0,"Total for all sectors",2013,409,3947,28083,"$121,538 "
0500000US06037,6037,"Los Angeles County, California",0,"Total for all sectors",2013,253227,3799831,47296142,"$194,174,611 "
0500000US06039,6039,"Madera County, California",0,"Total for all sectors",2013,1883,25438,226050,"$954,108 "
0500000US06041,6041,"Marin County, California",0,"Total for all sectors",2013,9654,98110,1346252,"$5,551,502 "
0500000US06043,6043,"Mariposa County, California",0,"Total for all sectors",2013,349,3246,18339,"$89,597 "
0500000US06045,6045,"Mendocino County, California",0,"Total for all sectors",2013,2466,22157,169590,"$734,559 "
0500000US06047,6047,"Merced County, California",0,"Total for all sectors",2013,2852,41183,338419,"$1,446,790 "
0500000US06049,6049,"Modoc County, California",0,"Total for all sectors",2013,158,1228,9380,"$42,252 "
0500000US06051,6051,"Mono County, California",0,"Total for all sectors",2013,562,6264,42431,"$160,949 "
0500000US06053,6053,"Monterey County, California",0,"Total for all sectors",2013,8408,101020,993648,"$4,218,090 "
0500000US06055,6055,"Napa County, California",0,"Total for all sectors",2013,4043,58272,663807,"$2,800,742 "
0500000US06057,6057,"Nevada County, California",0,"Total for all sectors",2013,2966,26259,230395,"$994,568 "
0500000US06059,6059,"Orange County, California",0,"Total for all sectors",2013,89496,1381148,18244064,"$73,286,210 "
0500000US06061,6061,"Placer County, California",0,"Total for all sectors",2013,9707,129592,1531447,"$6,261,340 "
0500000US06063,6063,"Plumas County, California",0,"Total for all sectors",2013,593,3656,31710,"$144,457 "
0500000US06065,6065,"Riverside County, California",0,"Total for all sectors",2013,34773,493307,4291563,"$17,832,588 "
0500000US06067,6067,"Sacramento County, California",0,"Total for all sectors",2013,27571,428475,5165101,"$20,877,514 "
0500000US06069,6069,"San Benito County, California",0,"Total for all sectors",2013,927,10161,93379,"$398,527 "
0500000US06071,6071,"San Bernardino County, California",0,"Total for all sectors",2013,32426,538336,5028796,"$20,860,790 "
0500000US06073,6073,"San Diego County, California",0,"Total for all sectors",2013,78379,1181133,14995688,"$59,965,617 "
0500000US06075,6075,"San Francisco County, California",0,"Total for all sectors",2013,32360,542366,12289122,"$46,667,382 "
0500000US06077,6077,"San Joaquin County, California",0,"Total for all sectors",2013,10668,166252,1552846,"$6,521,820 "
0500000US06079,6079,"San Luis Obispo County, California",0,"Total for all sectors",2013,7873,86125,807616,"$3,287,930 "
0500000US06081,6081,"San Mateo County, California",0,"Total for all sectors",2013,20342,347658,8666279,"$36,799,410 "
0500000US06083,6083,"Santa Barbara County, California",0,"Total for all sectors",2013,11211,137623,1527363,"$6,352,916 "
0500000US06085,6085,"Santa Clara County, California",0,"Total for all sectors",2013,46212,926766,21512907,"$88,739,529 "
0500000US06087,6087,"Santa Cruz County, California",0,"Total for all sectors",2013,6779,70493,697963,"$2,954,643 "
0500000US06089,6089,"Shasta County, California",0,"Total for all sectors",2013,4126,47159,399796,"$1,690,296 "
0500000US06091,6091,"Sierra County, California",0,"Total for all sectors",2013,67,198,1058,"$6,245 "
0500000US06093,6093,"Siskiyou County, California",0,"Total for all sectors",2013,1075,8222,58606,"$254,326 "
0500000US06095,6095,"Solano County, California",0,"Total for all sectors",2013,6677,103470,1166666,"$4,697,329 "
0500000US06097,6097,"Sonoma County, California",0,"Total for all sectors",2013,13370,152105,1645652,"$6,984,015 "
0500000US06099,6099,"Stanislaus County, California",0,"Total for all sectors",2013,8516,128728,1278039,"$5,390,327 "
0500000US06101,6101,"Sutter County, California",0,"Total for all sectors",2013,1696,19962,174103,"$725,090 "
0500000US06103,6103,"Tehama County, California",0,"Total for all sectors",2013,956,11381,96097,"$416,622 "
0500000US06105,6105,"Trinity County, California",0,"Total for all sectors",2013,253,1477,9973,"$45,492 "
0500000US06107,6107,"Tulare County, California",0,"Total for all sectors",2013,6142,88795,751499,"$3,131,143 "
0500000US06109,6109,"Tuolumne County, California",0,"Total for all sectors",2013,1289,12223,99233,"$430,601 "
0500000US06111,6111,"Ventura County, California",0,"Total for all sectors",2013,20089,247116,3212028,"$12,013,241 "
0500000US06113,6113,"Yolo County, California",0,"Total for all sectors",2013,3878,60719,616567,"$2,602,343 "
0500000US06115,6115,"Yuba County, California",0,"Total for all sectors",2013,820,9130,79371,"$322,510 "
0500000US08001,8001,"Adams County, Colorado",0,"Total for all sectors",2013,8559,137849,1467114,"$6,204,748 "
0500000US08003,8003,"Alamosa County, Colorado",0,"Total for all sectors",2013,475,5383,40691,"$171,396 "
0500000US08005,8005,"Arapahoe County, Colorado",0,"Total for all sectors",2013,17284,259423,3667302,"$14,275,060 "
0500000US08007,8007,"Archuleta County, Colorado",0,"Total for all sectors",2013,490,2965,21306,"$89,549 "
0500000US08009,8009,"Baca County, Colorado",0,"Total for all sectors",2013,90,525,3412,"$14,536 "
0500000US08011,8011,"Bent County, Colorado",0,"Total for all sectors",2013,57,551,4140,"$16,455 "
0500000US08013,8013,"Boulder County, Colorado",0,"Total for all sectors",2013,11696,139136,1941136,"$7,965,096 "
0500000US08014,8014,"Broomfield County, Colorado",0,"Total for all sectors",2013,1810,33426,585581,"$2,093,361 "
0500000US08015,8015,"Chaffee County, Colorado",0,"Total for all sectors",2013,860,5367,34915,"$161,909 "
0500000US08017,8017,"Cheyenne County, Colorado",0,"Total for all sectors",2013,58,745,10392,"$41,982 "
0500000US08019,8019,"Clear Creek County, Colorado",0,"Total for all sectors",2013,327,2574,29311,"$104,240 "
0500000US08021,8021,"Conejos County, Colorado",0,"Total for all sectors",2013,106,697,4933,"$20,629 "
0500000US08023,8023,"Costilla County, Colorado",0,"Total for all sectors",2013,42,255,1291,"$5,552 "
0500000US08025,8025,"Crowley County, Colorado",0,"Total for all sectors",2013,33,478,3850,"$14,858 "
0500000US08027,8027,"Custer County, Colorado",0,"Total for all sectors",2013,143,543,3591,"$15,996 "
0500000US08029,8029,"Delta County, Colorado",0,"Total for all sectors",2013,818,6620,51609,"$224,962 "
0500000US08031,8031,"Denver County, Colorado",0,"Total for all sectors",2013,22834,399744,5847052,"$22,533,711 "
0500000US08033,8033,"Dolores County, Colorado",0,"Total for all sectors",2013,53,c,1193,"$6,128 "
0500000US08035,8035,"Douglas County, Colorado",0,"Total for all sectors",2013,8040,91934,1194268,"$4,795,839 "
0500000US08037,8037,"Eagle County, Colorado",0,"Total for all sectors",2013,3217,29062,259173,"$1,010,316 "
0500000US08039,8039,"Elbert County, Colorado",0,"Total for all sectors",2013,564,2271,17213,"$78,489 "
0500000US08041,8041,"El Paso County, Colorado",0,"Total for all sectors",2013,16008,221972,2322280,"$9,443,578 "
0500000US08043,8043,"Fremont County, Colorado",0,"Total for all sectors",2013,821,7420,50281,"$213,696 "
0500000US08045,8045,"Garfield County, Colorado",0,"Total for all sectors",2013,2410,18983,202428,"$863,194 "
0500000US08047,8047,"Gilpin County, Colorado",0,"Total for all sectors",2013,111,4970,40909,"$173,946 "
0500000US08049,8049,"Grand County, Colorado",0,"Total for all sectors",2013,797,7582,58782,"$217,428 "
0500000US08051,8051,"Gunnison County, Colorado",0,"Total for all sectors",2013,1053,6056,42991,"$186,266 "
0500000US08053,8053,"Hinsdale County, Colorado",0,"Total for all sectors",2013,75,183,950,"$5,068 "
0500000US08055,8055,"Huerfano County, Colorado",0,"Total for all sectors",2013,156,1188,7715,"$32,651 "
0500000US08057,8057,"Jackson County, Colorado",0,"Total for all sectors",2013,71,279,1763,"$7,133 "
0500000US08059,8059,"Jefferson County, Colorado",0,"Total for all sectors",2013,16222,188932,2107953,"$8,775,941 "
0500000US08061,8061,"Kiowa County, Colorado",0,"Total for all sectors",2013,36,c,1963,"$7,659 "
0500000US08063,8063,"Kit Carson County, Colorado",0,"Total for all sectors",2013,263,1952,14186,"$59,551 "
0500000US08065,8065,"Lake County, Colorado",0,"Total for all sectors",2013,205,1226,7406,"$30,825 "
0500000US08067,8067,"La Plata County, Colorado",0,"Total for all sectors",2013,2296,20661,202927,"$890,984 "
0500000US08069,8069,"Larimer County, Colorado",0,"Total for all sectors",2013,9723,112150,1065564,"$4,556,202 "
0500000US08071,8071,"Las Animas County, Colorado",0,"Total for all sectors",2013,371,3228,24439,"$101,534 "
0500000US08073,8073,"Lincoln County, Colorado",0,"Total for all sectors",2013,123,1114,8523,"$37,048 "
0500000US08075,8075,"Logan County, Colorado",0,"Total for all sectors",2013,577,5312,37691,"$164,352 "
0500000US08077,8077,"Mesa County, Colorado",0,"Total for all sectors",2013,4431,49355,455167,"$1,979,947 "
0500000US08079,8079,"Mineral County, Colorado",0,"Total for all sectors",2013,66,220,1401,"$7,796 "
0500000US08081,8081,"Moffat County, Colorado",0,"Total for all sectors",2013,415,3527,34804,"$146,996 "
0500000US08083,8083,"Montezuma County, Colorado",0,"Total for all sectors",2013,758,6746,52123,"$224,523 "
0500000US08085,8085,"Montrose County, Colorado",0,"Total for all sectors",2013,1270,11253,88535,"$382,841 "
0500000US08087,8087,"Morgan County, Colorado",0,"Total for all sectors",2013,667,8794,75323,"$316,448 "
0500000US08089,8089,"Otero County, Colorado",0,"Total for all sectors",2013,442,4256,29238,"$120,847 "
0500000US08091,8091,"Ouray County, Colorado",0,"Total for all sectors",2013,263,963,6292,"$31,198 "
0500000US08093,8093,"Park County, Colorado",0,"Total for all sectors",2013,434,1196,6926,"$34,473 "
0500000US08095,8095,"Phillips County, Colorado",0,"Total for all sectors",2013,135,909,7504,"$32,500 "
0500000US08097,8097,"Pitkin County, Colorado",0,"Total for all sectors",2013,1559,16314,153797,"$564,039 "
0500000US08099,8099,"Prowers County, Colorado",0,"Total for all sectors",2013,340,2901,19255,"$81,294 "
0500000US08101,8101,"Pueblo County, Colorado",0,"Total for all sectors",2013,3036,46754,399997,"$1,684,343 "
0500000US08103,8103,"Rio Blanco County, Colorado",0,"Total for all sectors",2013,229,2131,32585,"$122,202 "
0500000US08105,8105,"Rio Grande County, Colorado",0,"Total for all sectors",2013,348,2646,16824,"$74,985 "
0500000US08107,8107,"Routt County, Colorado",0,"Total for all sectors",2013,1592,16630,172391,"$668,422 "
0500000US08109,8109,"Saguache County, Colorado",0,"Total for all sectors",2013,117,799,5455,"$24,146 "
0500000US08111,8111,"San Juan County, Colorado",0,"Total for all sectors",2013,68,203,838,"$4,239 "
0500000US08113,8113,"San Miguel County, Colorado",0,"Total for all sectors",2013,614,4430,33243,"$122,271 "
0500000US08115,8115,"Sedgwick County, Colorado",0,"Total for all sectors",2013,71,510,3425,"$13,783 "
0500000US08117,8117,"Summit County, Colorado",0,"Total for all sectors",2013,2140,18614,126161,"$501,272 "
0500000US08119,8119,"Teller County, Colorado",0,"Total for all sectors",2013,673,5377,42704,"$187,450 "
0500000US08121,8121,"Washington County, Colorado",0,"Total for all sectors",2013,105,524,4238,"$17,394 "
0500000US08123,8123,"Weld County, Colorado",0,"Total for all sectors",2013,5376,71783,759494,"$3,131,080 "
0500000US08125,8125,"Yuma County, Colorado",0,"Total for all sectors",2013,370,2535,21838,"$93,636 "
0500000US09001,9001,"Fairfield County, Connecticut",0,"Total for all sectors",2013,26972,403375,8721602,"$30,707,090 "
0500000US09003,9003,"Hartford County, Connecticut",0,"Total for all sectors",2013,22613,446375,6705668,"$25,576,762 "
0500000US09005,9005,"Litchfield County, Connecticut",0,"Total for all sectors",2013,4782,51115,471431,"$2,044,029 "
0500000US09007,9007,"Middlesex County, Connecticut",0,"Total for all sectors",2013,4147,60406,655162,"$2,764,963 "
0500000US09009,9009,"New Haven County, Connecticut",0,"Total for all sectors",2013,19431,331081,3973417,"$16,251,990 "
0500000US09011,9011,"New London County, Connecticut",0,"Total for all sectors",2013,5698,103244,1235982,"$5,107,136 "
0500000US09013,9013,"Tolland County, Connecticut",0,"Total for all sectors",2013,2398,30798,249891,"$1,070,343 "
0500000US09015,9015,"Windham County, Connecticut",0,"Total for all sectors",2013,2092,29397,266684,"$1,129,300 "
0500000US10001,10001,"Kent County, Delaware",0,"Total for all sectors",2013,3166,48071,413917,"$1,712,470 "
0500000US10003,10003,"New Castle County, Delaware",0,"Total for all sectors",2013,15452,270062,4118875,"$15,474,124 "
0500000US10005,10005,"Sussex County, Delaware",0,"Total for all sectors",2013,5343,61111,490884,"$2,148,873 "
0500000US11001,11001,"District of Columbia, District of Columbia",0,"Total for all sectors",2013,21919,491130,8852649,"$35,131,275 "
0500000US12001,12001,"Alachua County, Florida",0,"Total for all sectors",2013,5850,84425,746239,"$3,123,842 "
0500000US12003,12003,"Baker County, Florida",0,"Total for all sectors",2013,388,5150,38864,"$157,394 "
0500000US12005,12005,"Bay County, Florida",0,"Total for all sectors",2013,4380,56839,460070,"$1,920,138 "
0500000US12007,12007,"Bradford County, Florida",0,"Total for all sectors",2013,421,4067,29561,"$120,832 "
0500000US12009,12009,"Brevard County, Florida",0,"Total for all sectors",2013,13084,161218,1616936,"$6,603,879 "
0500000US12011,12011,"Broward County, Florida",0,"Total for all sectors",2013,57607,626529,6677567,"$27,283,223 "
0500000US12013,12013,"Calhoun County, Florida",0,"Total for all sectors",2013,191,1729,10805,"$46,171 "
0500000US12015,12015,"Charlotte County, Florida",0,"Total for all sectors",2013,3692,35239,265324,"$1,094,361 "
0500000US12017,12017,"Citrus County, Florida",0,"Total for all sectors",2013,2665,26477,214177,"$853,658 "
0500000US12019,12019,"Clay County, Florida",0,"Total for all sectors",2013,3596,36060,267163,"$1,110,199 "
0500000US12021,12021,"Collier County, Florida",0,"Total for all sectors",2013,10622,108607,1124492,"$4,312,851 "
0500000US12023,12023,"Columbia County, Florida",0,"Total for all sectors",2013,1320,17648,154632,"$623,944 "
0500000US12027,12027,"DeSoto County, Florida",0,"Total for all sectors",2013,427,4876,38318,"$154,269 "
0500000US12029,12029,"Dixie County, Florida",0,"Total for all sectors",2013,184,1411,8718,"$41,355 "
0500000US12031,12031,"Duval County, Florida",0,"Total for all sectors",2013,23807,403647,4872184,"$18,914,405 "
0500000US12033,12033,"Escambia County, Florida",0,"Total for all sectors",2013,6581,98366,860392,"$3,596,062 "
0500000US12035,12035,"Flagler County, Florida",0,"Total for all sectors",2013,1863,15920,110859,"$461,078 "
0500000US12037,12037,"Franklin County, Florida",0,"Total for all sectors",2013,304,2226,13341,"$57,528 "
0500000US12039,12039,"Gadsden County, Florida",0,"Total for all sectors",2013,640,9016,72134,"$302,084 "
0500000US12041,12041,"Gilchrist County, Florida",0,"Total for all sectors",2013,214,1424,10371,"$42,060 "
0500000US12043,12043,"Glades County, Florida",0,"Total for all sectors",2013,106,881,6653,"$25,903 "
0500000US12045,12045,"Gulf County, Florida",0,"Total for all sectors",2013,275,2023,13766,"$58,666 "
0500000US12047,12047,"Hamilton County, Florida",0,"Total for all sectors",2013,166,1890,24327,"$90,481 "
0500000US12049,12049,"Hardee County, Florida",0,"Total for all sectors",2013,380,4172,32184,"$129,580 "
0500000US12051,12051,"Hendry County, Florida",0,"Total for all sectors",2013,546,5579,42596,"$183,660 "
0500000US12053,12053,"Hernando County, Florida",0,"Total for all sectors",2013,2984,29704,211163,"$869,776 "
0500000US12055,12055,"Highlands County, Florida",0,"Total for all sectors",2013,1862,18901,137803,"$563,531 "
0500000US12057,12057,"Hillsborough County, Florida",0,"Total for all sectors",2013,33302,538119,6317656,"$24,617,742 "
0500000US12059,12059,"Holmes County, Florida",0,"Total for all sectors",2013,267,1804,11017,"$43,688 "
