"Geographic identifier code",FIPS,"Geographic area name","2012 NAICS code","Meaning of 2012 NAICS code",Year,"Number of establishments","Paid employees for pay period including March 12 (number)","First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0500000US17075,17075,"Iroquois County, Illinois",0,"Total for all sectors",2013,702,6237,42623,"$197,254 "
0500000US17077,17077,"Jackson County, Illinois",0,"Total for all sectors",2013,1310,17040,126645,"$527,363 "
0500000US17079,17079,"Jasper County, Illinois",0,"Total for all sectors",2013,203,1620,14317,"$60,306 "
0500000US17081,17081,"Jefferson County, Illinois",0,"Total for all sectors",2013,956,17619,157895,"$645,742 "
0500000US17083,17083,"Jersey County, Illinois",0,"Total for all sectors",2013,424,4645,30107,"$124,536 "
0500000US17085,17085,"Jo Daviess County, Illinois",0,"Total for all sectors",2013,719,6736,48682,"$215,578 "
0500000US17087,17087,"Johnson County, Illinois",0,"Total for all sectors",2013,165,1289,6475,"$26,529 "
0500000US17089,17089,"Kane County, Illinois",0,"Total for all sectors",2013,12318,180958,1695017,"$7,233,814 "
0500000US17091,17091,"Kankakee County, Illinois",0,"Total for all sectors",2013,2369,37103,306472,"$1,308,561 "
0500000US17093,17093,"Kendall County, Illinois",0,"Total for all sectors",2013,2008,21251,159623,"$672,099 "
0500000US17095,17095,"Knox County, Illinois",0,"Total for all sectors",2013,1079,15413,110582,"$446,651 "
0500000US17097,17097,"Lake County, Illinois",0,"Total for all sectors",2013,19636,324805,5858602,"$21,822,990 "
0500000US17099,17099,"LaSalle County, Illinois",0,"Total for all sectors",2013,2715,37250,332841,"$1,379,564 "
0500000US17101,17101,"Lawrence County, Illinois",0,"Total for all sectors",2013,278,3416,30411,"$121,392 "
0500000US17103,17103,"Lee County, Illinois",0,"Total for all sectors",2013,712,10140,94352,"$386,108 "
0500000US17105,17105,"Livingston County, Illinois",0,"Total for all sectors",2013,879,11604,100375,"$414,344 "
0500000US17107,17107,"Logan County, Illinois",0,"Total for all sectors",2013,601,7477,54659,"$233,552 "
0500000US17109,17109,"McDonough County, Illinois",0,"Total for all sectors",2013,680,9442,63675,"$272,229 "
0500000US17111,17111,"McHenry County, Illinois",0,"Total for all sectors",2013,7693,84168,806936,"$3,443,764 "
0500000US17113,17113,"McLean County, Illinois",0,"Total for all sectors",2013,3730,77572,1054166,"$3,872,036 "
0500000US17115,17115,"Macon County, Illinois",0,"Total for all sectors",2013,2456,46406,446053,"$1,876,207 "
0500000US17117,17117,"Macoupin County, Illinois",0,"Total for all sectors",2013,913,8536,63506,"$271,146 "
0500000US17119,17119,"Madison County, Illinois",0,"Total for all sectors",2013,5856,83255,819334,"$3,329,028 "
0500000US17121,17121,"Marion County, Illinois",0,"Total for all sectors",2013,924,10863,86160,"$379,219 "
0500000US17123,17123,"Marshall County, Illinois",0,"Total for all sectors",2013,280,2752,19834,"$92,224 "
0500000US17125,17125,"Mason County, Illinois",0,"Total for all sectors",2013,295,2377,18683,"$78,854 "
0500000US17127,17127,"Massac County, Illinois",0,"Total for all sectors",2013,229,3279,33126,"$128,788 "
0500000US17129,17129,"Menard County, Illinois",0,"Total for all sectors",2013,216,1248,8247,"$37,122 "
0500000US17131,17131,"Mercer County, Illinois",0,"Total for all sectors",2013,280,2441,17241,"$74,422 "
0500000US17133,17133,"Monroe County, Illinois",0,"Total for all sectors",2013,788,8083,60780,"$261,065 "
0500000US17135,17135,"Montgomery County, Illinois",0,"Total for all sectors",2013,707,7262,57746,"$234,165 "
0500000US17137,17137,"Morgan County, Illinois",0,"Total for all sectors",2013,843,12331,93570,"$402,574 "
0500000US17139,17139,"Moultrie County, Illinois",0,"Total for all sectors",2013,320,4928,40678,"$169,453 "
0500000US17141,17141,"Ogle County, Illinois",0,"Total for all sectors",2013,1056,12693,124692,"$523,688 "
0500000US17143,17143,"Peoria County, Illinois",0,"Total for all sectors",2013,4567,108908,2005563,"$5,981,631 "
0500000US17145,17145,"Perry County, Illinois",0,"Total for all sectors",2013,424,4380,31038,"$134,397 "
0500000US17147,17147,"Piatt County, Illinois",0,"Total for all sectors",2013,335,2133,15616,"$66,148 "
0500000US17149,17149,"Pike County, Illinois",0,"Total for all sectors",2013,375,2995,20738,"$88,650 "
0500000US17151,17151,"Pope County, Illinois",0,"Total for all sectors",2013,53,245,1112,"$4,525 "
0500000US17153,17153,"Pulaski County, Illinois",0,"Total for all sectors",2013,98,652,3932,"$17,003 "
0500000US17155,17155,"Putnam County, Illinois",0,"Total for all sectors",2013,131,1089,12203,"$55,235 "
0500000US17157,17157,"Randolph County, Illinois",0,"Total for all sectors",2013,677,10556,87982,"$360,788 "
0500000US17159,17159,"Richland County, Illinois",0,"Total for all sectors",2013,461,5183,41296,"$171,538 "
0500000US17161,17161,"Rock Island County, Illinois",0,"Total for all sectors",2013,3263,63252,732012,"$3,161,930 "
0500000US17163,17163,"St. Clair County, Illinois",0,"Total for all sectors",2013,5325,77072,665418,"$2,774,171 "
0500000US17165,17165,"Saline County, Illinois",0,"Total for all sectors",2013,583,7199,73921,"$284,378 "
0500000US17167,17167,"Sangamon County, Illinois",0,"Total for all sectors",2013,5074,81996,775408,"$3,241,991 "
0500000US17169,17169,"Schuyler County, Illinois",0,"Total for all sectors",2013,155,1201,7975,"$37,811 "
0500000US17171,17171,"Scott County, Illinois",0,"Total for all sectors",2013,84,577,4593,"$20,619 "
0500000US17173,17173,"Shelby County, Illinois",0,"Total for all sectors",2013,444,4035,29959,"$129,851 "
